scale,schema,query,seconds,correct,runs
10000,flat,Q02,0.0014335499999999998,True,1.678e-03;1.502e-03;1.454e-03;1.434e-03;1.477e-03
10000,mid,Q02,0.0016384000000000001,True,1.722e-03;1.656e-03;1.638e-03;1.689e-03;1.706e-03
10000,normalized,Q02,0.0093459,True,9.494e-03;9.436e-03;9.465e-03;9.346e-03;9.347e-03
10000,flat,Q11,0.0009699999999999999,True,1.053e-03;9.995e-04;9.867e-04;9.723e-04;9.700e-04
10000,mid,Q11,0.00070245,True,7.049e-04;7.024e-04;7.300e-04;7.041e-04;7.325e-04
10000,normalized,Q11,0.004825049999999999,True,4.886e-03;4.869e-03;4.863e-03;4.825e-03;4.846e-03
10000,flat,Q13,0.00103035,True,1.267e-03;1.050e-03;1.030e-03;1.065e-03;1.039e-03
10000,mid,Q13,0.0010023,True,1.187e-03;1.056e-03;1.018e-03;1.015e-03;1.002e-03
10000,normalized,Q13,0.0020371499999999997,True,2.412e-03;2.046e-03;2.054e-03;2.037e-03;2.074e-03
10000,flat,Q17,0.0091512,True,9.421e-03;9.218e-03;9.182e-03;9.151e-03;9.209e-03
10000,mid,Q17,0.005131749999999999,True,5.203e-03;5.200e-03;5.141e-03;5.174e-03;5.132e-03
10000,normalized,Q17,0.0173864,True,1.771e-02;1.757e-02;1.739e-02;1.743e-02;1.751e-02
10000,flat,Q18,0.006931399999999999,True,6.985e-03;7.003e-03;6.962e-03;6.953e-03;6.931e-03
10000,mid,Q18,0.0013623499999999998,True,1.399e-03;1.375e-03;1.365e-03;1.362e-03;1.415e-03
10000,normalized,Q18,0.0026503,True,2.707e-03;2.693e-03;2.673e-03;2.657e-03;2.650e-03
10000,flat,Q19,0.000718,True,7.733e-04;7.379e-04;7.426e-04;7.180e-04;7.402e-04
10000,mid,Q19,0.0023283500000000003,True,2.427e-03;2.427e-03;2.350e-03;2.328e-03;2.426e-03
10000,normalized,Q19,0.00497825,True,5.038e-03;4.986e-03;4.978e-03;4.978e-03;5.046e-03
